,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
H-1,8.1741e-13,1.9879e-09,2.8383e-11,4.4054e-08,7.0685e-09
H-2,1.0320e-14,2.4516e-11,4.4429e-13,1.0271e-08,4.6314e-10
H-3,3.3891e-18,3.0025e-15,8.2221e-18,1.5592e-12,5.0688e-13
He-3,1.3252e-20,7.5964e-17,3.9488e-20,1.5515e-14,7.8177e-15
He-4,4.1905e-08,1.5714e-07,4.7538e-07,1.6524e-06,2.7147e-06
Li-6,1.1538e-26,1.0320e-21,5.3627e-26,1.5276e-18,7.6052e-19
Li-7,2.7093e-32,1.5242e-26,2.5053e-31,2.0778e-20,4.8865e-22
Be-9,3.9545e-21,2.4132e-16,1.6654e-20,1.3811e-13,3.2642e-14
Be-10,2.9739e-27,2.9765e-22,2.3475e-26,8.5806e-19,4.6594e-19
B-10,6.0881e-35,8.2796e-30,5.9949e-34,5.1247e-26,4.6124e-26
B-11,3.5192e-24,9.2819e-23,2.5849e-21,3.6152e-17,5.4453e-18
C-12,1.1690e-02,1.1690e-02,1.1690e-02,1.1690e-02,1.1690e-02
C-13,1.3126e-04,1.3136e-04,1.3146e-04,1.3200e-04,1.3226e-04
C-14,9.7308e-14,4.9461e-13,2.6454e-12,5.7312e-12,9.2808e-12
N-14,9.0427e-19,8.6154e-18,1.0331e-16,9.0506e-15,6.8429e-16
N-15,3.5762e-24,2.4127e-11,2.9746e-21,1.0222e-08,5.1145e-10
O-16,3.5463e-02,3.5463e-02,3.5463e-02,3.5463e-02,3.5462e-02
O-17,1.8481e-09,4.2173e-09,9.9267e-09,1.5092e-08,1.8599e-08
O-18,1.0313e-15,5.3575e-15,2.9544e-14,6.7477e-14,1.0346e-13
Ni-65,1.6832e-22,2.1336e-22,1.2466e-22,5.7975e-23,7.5398e-23
Ni-66,2.3418e-14,2.7710e-14,1.6025e-14,1.8010e-14,2.1510e-14
Cu-65,2.9502e-15,6.5228e-15,1.5010e-14,2.3243e-14,2.1345e-14
Cu-66,3.6656e-17,4.3375e-17,2.5084e-17,2.8191e-17,3.3669e-17
Cu-67,9.2478e-14,9.4620e-14,5.5924e-14,5.4411e-14,6.0931e-14
Zn-66,1.2913e-12,3.0541e-12,7.2146e-12,1.1217e-11,1.1678e-11
Zn-67,4.1053e-12,9.2801e-12,2.0709e-11,2.9989e-11,3.1152e-11
Zn-68,8.0479e-12,1.8745e-11,4.2507e-11,6.2437e-11,6.7427e-11
Zn-69,8.5588e-18,1.3024e-17,8.3341e-18,1.2651e-17,1.4430e-17
Zn-69m,1.1677e-16,1.7768e-16,1.1370e-16,1.7260e-16,1.9687e-16
Zn-70,3.9920e-11,1.0399e-10,2.5294e-10,3.7804e-10,4.4379e-10
Zn-71m,4.2854e-17,5.9599e-17,4.0847e-17,6.5156e-17,7.2559e-17
Zn-72,4.6258e-12,5.1154e-12,3.3619e-12,3.6498e-12,4.1877e-12
Ga-66,6.2570e-26,1.5834e-25,8.6164e-26,6.0613e-26,1.1028e-25
Ga-67,8.7233e-22,1.1465e-21,4.3553e-22,5.5352e-22,7.2654e-22
Ga-68,2.1209e-30,6.4556e-29,8.3309e-28,2.6896e-27,5.8043e-27
Ga-69,1.6982e-11,4.1610e-11,9.6657e-11,1.4144e-10,1.6097e-10
Ga-70,9.9554e-49,1.6450e-48,2.4508e-48,6.2786e-48,5.3712e-48
Ga-71,8.3246e-11,2.1339e-10,5.2069e-10,7.7475e-10,9.2377e-10
Ga-72,1.8162e-12,2.0209e-12,1.3428e-12,1.4355e-12,1.6614e-12
Ga-73,1.8509e-14,1.6500e-14,9.3267e-15,1.1758e-14,1.1398e-14
Ge-68,9.1510e-27,3.6717e-25,4.7970e-24,1.5492e-23,3.3437e-23
Ge-69,8.8889e-23,1.4951e-22,5.8907e-23,7.4083e-23,9.3523e-23
Ge-70,3.1098e-14,1.8218e-13,7.9967e-13,1.9967e-12,1.3614e-12
Ge-71,3.3679e-17,8.2281e-17,2.0920e-16,3.7256e-16,3.4610e-16
Ge-71m,2.5853e-31,4.2465e-31,1.6687e-31,2.3282e-31,3.2423e-31
Ge-72,2.4203e-10,6.2580e-10,1.4615e-09,2.1016e-09,2.4833e-09
Ge-73,8.1375e-10,1.9148e-09,4.0822e-09,5.5736e-09,6.3623e-09
Ge-73m,3.6953e-20,3.2942e-20,1.8621e-20,2.3475e-20,2.2757e-20
Ge-74,2.5605e-09,5.8849e-09,1.2365e-08,1.6638e-08,1.9367e-08
Ge-75,1.1417e-19,8.8024e-20,4.7908e-20,5.4580e-20,4.9171e-20
Ge-76,2.1611e-08,4.7089e-08,9.3410e-08,1.2155e-07,1.3772e-07
Ge-77,4.7798e-11,3.6265e-11,1.9694e-11,2.0145e-11,1.7827e-11
Ge-78,6.3693e-18,4.6444e-18,2.5383e-18,2.7720e-18,2.4517e-18
As-71,7.5407e-23,1.2386e-22,4.8673e-23,6.7908e-23,9.4571e-23
As-72,1.0229e-20,1.6365e-20,1.0339e-20,1.4956e-20,1.7796e-20
As-73,6.0222e-17,1.8902e-16,3.1940e-16,3.2189e-16,3.6911e-16
As-74,1.3824e-15,3.0226e-15,2.9331e-15,3.9418e-15,8.0913e-15
As-75,7.5483e-09,1.6695e-08,3.3675e-08,4.3905e-08,4.9426e-08
As-75m,5.9126e-27,3.7801e-26,9.4623e-26,5.2121e-24,6.2943e-25
As-76,1.9367e-13,5.1621e-13,7.6348e-13,7.4335e-12,1.2076e-12
As-77,9.0411e-10,7.5591e-10,4.5574e-10,3.8295e-10,3.6926e-10
As-78,1.5211e-16,1.1096e-16,6.0653e-17,6.6274e-17,5.8636e-17
Se-73,6.1827e-26,1.5726e-25,8.9297e-26,4.8892e-26,9.9951e-26
Se-73m,4.6120e-46,9.6374e-45,3.0667e-44,2.2128e-44,4.3080e-43
Se-74,7.1311e-16,4.0914e-15,1.1613e-14,2.4856e-13,2.9223e-14
Se-75,5.3617e-17,3.4279e-16,8.5807e-16,4.7265e-14,5.7078e-15
Se-76,3.8660e-11,1.8198e-10,4.8830e-10,1.0954e-09,1.9891e-09
Se-77,5.3541e-08,1.1668e-07,2.2642e-07,2.8791e-07,3.2121e-07
Se-77m,3.7351e-16,3.1228e-16,1.8827e-16,1.5820e-16,1.5255e-16
Se-78,1.4391e-07,3.1413e-07,6.2915e-07,8.2629e-07,9.4298e-07
Se-79,3.0426e-07,6.5585e-07,1.2669e-06,1.5918e-06,1.7971e-06
Se-80,8.6886e-07,1.8766e-06,3.6908e-06,4.8045e-06,5.4298e-06
Se-81,1.0382e-22,9.0967e-23,5.1166e-23,6.7188e-23,6.4338e-23
Se-81m,2.1861e-22,1.9154e-22,1.0774e-22,1.4148e-22,1.3547e-22
Se-82,2.1768e-06,4.6793e-06,9.1481e-06,1.1818e-05,1.3339e-05
Se-83,6.2075e-39,4.2574e-39,2.2770e-39,2.2927e-39,1.9146e-39
Br-75,2.6889e-32,6.5857e-32,3.4260e-32,1.7517e-32,4.2198e-32
Br-77,6.6873e-19,1.0731e-18,7.7273e-19,9.7733e-19,1.2296e-18
Br-79,1.6027e-10,3.4613e-10,6.7883e-10,8.5506e-10,9.3785e-10
Br-80,1.8815e-18,2.1024e-18,1.5095e-18,5.9922e-18,2.7917e-18
Br-80m,2.6344e-17,2.9438e-17,2.1136e-17,8.3902e-17,3.9089e-17
Br-81,1.3801e-06,2.9849e-06,5.8776e-06,7.5719e-06,8.2871e-06
Br-82,6.1461e-11,2.5889e-10,3.6539e-10,2.9259e-10,3.1667e-10
Br-83,2.2730e-13,1.5701e-13,8.4116e-14,8.5606e-14,7.1948e-14
Br-84,9.7000e-30,6.5974e-30,3.5178e-30,3.4968e-30,2.8922e-30
Kr-77,1.2812e-38,2.6895e-37,8.5756e-37,6.8993e-37,2.5975e-35
Kr-78,1.7246e-19,6.8703e-19,2.0095e-18,4.5817e-18,4.0070e-18
Kr-79,1.9006e-19,3.0249e-19,2.0294e-19,2.8288e-19,3.4371e-19
Kr-80,3.0509e-12,1.2220e-11,3.4343e-11,2.4122e-10,1.3758e-10
Kr-81,1.3454e-13,5.8788e-13,2.3339e-12,8.9861e-12,7.4490e-12
Kr-82,5.4758e-09,2.8790e-08,7.6222e-08,1.4722e-07,4.5075e-07
Kr-83,3.5047e-06,7.1061e-06,1.2600e-05,1.4385e-05,1.4516e-05
Kr-83m,6.9683e-13,4.8139e-13,2.5795e-13,2.6252e-13,2.2067e-13
Kr-84,6.5843e-06,1.4301e-05,2.8616e-05,3.8336e-05,4.4547e-05
Kr-85,2.4033e-06,5.0233e-06,9.3765e-06,1.1718e-05,1.2816e-05
Kr-85m,1.1098e-10,7.4957e-11,3.9713e-11,3.8947e-11,3.1596e-11
Kr-86,1.2170e-05,2.5649e-05,4.8968e-05,6.2309e-05,6.9483e-05
Kr-87,4.7879e-17,3.2126e-17,1.6993e-17,1.6538e-17,1.3415e-17
Kr-88,7.2738e-12,4.8622e-12,2.5667e-12,2.4818e-12,2.0020e-12
Rb-81,8.6853e-23,1.3276e-22,7.9767e-23,1.3554e-22,1.4350e-22
Rb-83,2.0846e-14,6.6421e-14,1.1555e-13,1.1600e-13,1.3448e-13
Rb-84,2.6168e-14,5.4404e-13,6.2398e-14,2.3800e-11,9.4025e-12
Rb-85,6.9617e-06,1.4676e-05,2.8126e-05,3.5845e-05,4.0188e-05
Rb-86,1.4257e-09,6.4049e-09,8.5880e-09,1.3671e-08,1.6171e-08
Rb-87,1.7040e-05,3.5830e-05,6.8191e-05,8.6477e-05,9.6169e-05
Rb-88,8.4701e-13,5.6619e-13,2.9888e-13,2.8900e-13,2.3313e-13
Sr-83,1.0117e-20,1.6068e-20,1.0586e-20,1.4922e-20,1.8012e-20
Sr-84,1.0786e-15,6.2369e-14,1.6004e-14,2.9440e-11,8.7396e-13
Sr-85,4.2715e-15,1.2659e-14,1.9539e-14,1.9879e-13,6.7584e-14
Sr-85m,1.0627e-27,1.5785e-27,9.4552e-28,4.4851e-27,1.7280e-27
Sr-86,2.5054e-09,1.7874e-08,7.3653e-08,1.6710e-07,1.6985e-07
Sr-87,2.3462e-11,8.7253e-11,2.7673e-10,2.2110e-09,8.1566e-10
Sr-87m,2.1195e-18,7.4496e-18,5.4133e-18,2.0933e-17,1.7711e-17
Sr-88,2.3196e-05,4.8748e-05,9.2668e-05,1.1759e-04,1.3097e-04
Sr-89,1.8794e-05,2.5772e-05,2.0660e-05,1.3886e-05,1.0612e-05
Sr-90,3.7706e-05,7.8964e-05,1.4880e-04,1.8744e-04,2.0703e-04
Sr-91,1.9511e-08,1.3663e-08,7.3245e-09,6.9841e-09,5.7912e-09
Sr-92,6.4663e-12,4.4400e-12,2.3781e-12,2.4036e-12,2.0123e-12
Y-85,2.0958e-27,3.9341e-27,1.9793e-27,9.3190e-28,1.6686e-27
Y-87,9.3638e-17,1.4962e-16,1.1369e-16,1.3329e-16,1.7036e-16
Y-87m,5.6026e-24,1.1716e-23,5.4871e-24,4.3457e-24,6.6587e-24
Y-88,8.3645e-14,4.3627e-13,4.9200e-13,4.8209e-10,6.8509e-11
Y-89,1.2170e-05,3.9224e-05,1.0263e-04,1.4222e-04,1.6288e-04
Y-89m,6.5000e-15,8.9132e-15,7.1454e-15,4.8025e-15,3.6704e-15
Y-90,9.4459e-09,2.0255e-08,3.8610e-08,4.8819e-08,5.4001e-08
Y-90m,1.1552e-16,1.6805e-16,1.3572e-16,2.2886e-16,2.5317e-16
Y-91,2.4916e-05,3.6029e-05,3.0804e-05,2.1719e-05,1.6670e-05
Y-91m,1.0512e-09,7.3609e-10,3.9461e-10,3.7627e-10,3.1200e-10
Y-92,3.3137e-10,2.2771e-10,1.2198e-10,1.2321e-10,1.0316e-10
Y-93,2.6622e-08,1.9310e-08,1.0552e-08,1.0536e-08,9.1377e-09
Y-94,1.8027e-43,1.2743e-43,6.9292e-44,7.3206e-44,6.3419e-44
Zr-87,1.5833e-30,3.2570e-30,1.6698e-30,8.3714e-31,1.4928e-30
Zr-88,2.3039e-18,7.1655e-18,1.1991e-17,1.2083e-17,1.3897e-17
Zr-89,2.1308e-17,3.4058e-17,2.5502e-17,3.0100e-17,8.5703e-17
Zr-89m,1.8268e-33,4.4682e-33,2.3350e-33,1.2618e-33,2.3268e-33
Zr-90,8.8270e-08,3.9433e-07,1.9501e-06,3.6111e-06,5.5096e-06
Zr-91,1.3286e-05,4.4541e-05,1.2298e-04,1.7350e-04,2.0072e-04
Zr-92,3.9824e-05,8.4497e-05,1.6285e-04,2.0887e-04,2.3424e-04
Zr-93,4.2101e-05,8.9779e-05,1.7413e-04,2.2216e-04,2.5228e-04
Zr-94,4.3369e-05,9.3271e-05,1.8272e-04,2.3858e-04,2.6712e-04
Zr-95,2.9410e-05,4.4990e-05,4.2001e-05,3.1751e-05,2.6219e-05
Zr-96,4.2735e-05,9.2440e-05,1.8320e-04,2.3866e-04,2.6891e-04
Zr-97,1.0625e-07,8.4135e-08,4.8590e-08,4.9175e-08,4.6323e-08
Nb-89,6.6868e-30,1.6355e-29,8.5471e-30,4.6187e-30,8.5168e-30
Nb-90,1.8729e-22,3.8676e-22,1.7683e-22,1.4831e-22,2.1919e-22
Nb-91,4.7279e-17,1.8142e-16,5.2675e-16,8.1026e-16,1.0239e-15
Nb-91m,2.7490e-26,8.7631e-26,1.0765e-25,1.2042e-25,1.4414e-25
Nb-92,3.9581e-15,1.5248e-14,4.4200e-14,6.7932e-14,8.6401e-14
Nb-93,2.8858e-13,1.1449e-12,4.1011e-12,7.1901e-12,1.0789e-11
Nb-93m,1.9744e-12,8.3874e-12,3.9294e-11,7.2419e-11,1.1084e-10
Nb-94,9.6022e-12,4.4754e-11,9.9844e-11,1.3799e-09,1.4478e-09
Nb-95,9.1483e-06,2.1051e-05,2.4671e-05,2.0906e-05,1.5787e-05
Nb-95m,1.7896e-08,2.8100e-08,2.6480e-08,2.0041e-08,1.6473e-08
Nb-96,2.2846e-10,4.4789e-10,3.1186e-10,3.7500e-10,4.1066e-10
Nb-97,8.2146e-09,6.5050e-09,3.7567e-09,3.8020e-09,3.5815e-09
Nb-98m,3.6608e-23,2.7453e-23,1.4859e-23,1.6829e-23,1.4925e-23
Mo-92,2.8359e-20,9.3995e-20,2.6850e-19,4.2699e-19,4.8443e-19
Mo-93,7.2568e-18,2.8829e-17,8.0435e-17,8.7153e-14,1.6629e-14
Mo-93m,7.5066e-22,1.2006e-21,7.0555e-22,1.0862e-21,1.1931e-21
Mo-94,3.4639e-13,1.2202e-11,3.0834e-11,5.1406e-09,3.2105e-09
Mo-95,5.0763e-06,2.7796e-05,1.1368e-04,1.7863e-04,2.1279e-04
Mo-96,4.7651e-08,3.9465e-07,5.0228e-06,1.0035e-05,1.8136e-05
Mo-97,4.0945e-05,8.9404e-05,1.7831e-04,2.3364e-04,2.6803e-04
Mo-98,3.9538e-05,8.6999e-05,1.7576e-04,2.3331e-04,2.6652e-04
Mo-99,1.1431e-06,1.0102e-06,6.8082e-07,5.5339e-07,5.8155e-07
Mo-100,4.3376e-05,9.5766e-05,1.9451e-04,2.5773e-04,2.9503e-04
Tc-95,9.8577e-22,2.1538e-21,9.9722e-22,1.0846e-21,1.5096e-21
Tc-95m,2.4763e-20,6.1649e-20,7.0144e-20,7.7301e-20,8.8810e-20
Tc-96,0.0000e+00,3.7886e-37,0.0000e+00,7.3810e-37,1.2456e-27
Tc-97,2.7339e-15,1.1820e-14,4.1172e-14,6.8541e-14,8.8461e-14
Tc-97m,1.8535e-15,5.8801e-15,1.0259e-14,1.0479e-14,1.2059e-14
Tc-98,5.8351e-12,4.1010e-11,2.3399e-11,7.6192e-09,4.1477e-09
Tc-99,3.9866e-05,8.6516e-05,1.7143e-04,2.1496e-04,2.2890e-04
Tc-99m,1.0061e-07,8.8948e-08,5.9969e-08,4.8708e-08,5.1202e-08
Tc-104,1.1904e-44,1.1420e-44,7.2571e-45,1.0220e-44,1.0670e-44
Ru-97,1.6220e-21,3.0896e-21,1.2913e-21,2.0687e-21,2.8700e-21
Ru-98,4.6398e-16,4.1370e-15,3.9466e-15,3.2814e-13,3.3657e-13
Ru-99,1.3187e-09,2.9377e-09,6.0417e-09,8.6085e-09,9.1932e-09
Ru-100,7.5611e-07,4.5209e-06,1.4364e-05,3.1594e-05,5.5047e-05
Ru-101,3.5685e-05,7.8449e-05,1.5968e-04,2.0863e-04,2.3911e-04
Ru-102,3.0559e-05,6.9930e-05,1.4769e-04,2.0592e-04,2.4196e-04
Ru-103,1.2386e-05,1.8605e-05,1.8143e-05,1.4317e-05,1.5399e-05
Ru-104,1.5033e-05,3.7488e-05,8.7212e-05,1.2625e-04,1.5262e-04
Ru-105,1.3541e-10,1.5005e-10,9.8621e-11,1.4868e-10,1.5975e-10
Ru-106,4.4359e-06,1.2936e-05,3.1335e-05,4.4128e-05,5.1761e-05
Rh-99,1.6045e-21,3.5598e-21,2.3365e-21,2.5847e-21,4.0614e-21
Rh-101,2.0897e-16,4.3107e-16,7.6802e-16,9.9856e-16,1.0787e-15
Rh-101m,2.3176e-18,3.9250e-18,2.7307e-18,3.2590e-18,4.3711e-18
Rh-102,4.3238e-15,5.4947e-12,1.6142e-14,1.8633e-09,3.6633e-10
Rh-102m,4.0331e-15,1.0154e-14,2.1936e-14,2.9241e-14,3.3731e-14
Rh-103,9.9008e-06,3.1452e-05,7.5696e-05,1.0183e-04,9.6812e-05
Rh-103m,1.2149e-08,1.8249e-08,1.7797e-08,1.4044e-08,1.5105e-08
Rh-105,1.2848e-07,1.5299e-07,1.1372e-07,1.4104e-07,1.6557e-07
Rh-105m,1.0272e-13,1.1383e-13,7.4813e-14,1.1278e-13,1.2119e-13
Rh-106,4.0953e-12,1.1943e-11,2.8929e-11,4.0740e-11,4.7787e-11
Rh-106m,1.6342e-15,1.8405e-15,1.0910e-15,1.6233e-15,1.9655e-15
Rh-107,1.4014e-39,2.0420e-39,1.5073e-39,2.5088e-39,2.8405e-39
Pd-101,2.1697e-25,5.3462e-25,2.7297e-25,1.8383e-25,3.1471e-25
Pd-102,1.2132e-16,2.9274e-13,2.4311e-15,2.9866e-10,1.6184e-10
Pd-103,1.4414e-18,2.1753e-14,3.5651e-18,1.2988e-12,1.0127e-11
Pd-104,4.1899e-07,3.7112e-06,2.4866e-05,4.9729e-05,8.4490e-05
Pd-105,7.5139e-06,1.9988e-05,5.1336e-05,7.3624e-05,9.0408e-05
Pd-106,1.6144e-06,5.9214e-06,1.9945e-05,4.0479e-05,5.4892e-05
Pd-107,2.5712e-06,8.9339e-06,2.6859e-05,4.3065e-05,5.4676e-05
Pd-108,1.4186e-06,5.4047e-06,1.7581e-05,3.0312e-05,3.5938e-05
Pd-109,2.4735e-09,4.0936e-09,3.4215e-09,5.7058e-09,6.3131e-09
Pd-110,4.8821e-07,1.7705e-06,5.6577e-06,9.6356e-06,1.2443e-05
Pd-111,1.6524e-16,3.3324e-16,1.5890e-15,8.5634e-16,4.1163e-15
Pd-111m,2.9659e-15,5.9812e-15,2.8520e-14,1.5370e-14,7.3881e-14
Pd-112,8.5829e-10,1.1682e-09,9.1229e-10,1.2775e-09,1.5717e-09
Ag-103,1.0098e-35,2.4692e-35,1.2728e-35,6.4688e-36,1.2061e-35
Ag-105,2.3873e-19,6.9325e-19,6.7092e-19,7.1844e-19,9.7755e-19
Ag-106,1.1871e-48,2.3107e-48,1.3137e-48,1.4440e-48,1.8804e-48
Ag-106m,2.5371e-18,4.8464e-18,3.0566e-18,3.5694e-18,5.3189e-18
Ag-107,2.4292e-14,1.5662e-13,1.0808e-12,2.6093e-12,3.9995e-12
Ag-107m,1.1607e-26,2.8546e-26,1.4717e-26,8.7195e-27,1.5533e-26
Ag-108,1.0129e-23,4.1193e-23,1.2261e-22,1.9028e-22,2.4838e-22
Ag-108m,1.0800e-14,4.3922e-14,1.3073e-13,2.0289e-13,2.6483e-13
Ag-109,8.9918e-07,3.2102e-06,9.0236e-06,1.3967e-05,2.0928e-05
Ag-109m,1.9856e-12,3.2862e-12,2.7466e-12,4.5804e-12,5.0679e-12
Ag-110,3.3091e-17,3.3593e-16,1.7588e-15,3.4348e-15,4.7763e-15
Ag-110m,2.1344e-09,2.1668e-08,1.1344e-07,2.2154e-07,3.0807e-07
Ag-111,3.6871e-08,6.1090e-08,6.8952e-08,6.8641e-08,9.4944e-08
Ag-111m,7.4248e-18,1.4973e-17,7.1398e-17,3.8478e-17,1.8495e-16
Ag-112,1.5005e-10,2.0424e-10,1.5950e-10,2.2335e-10,2.7478e-10
Ag-113,4.1316e-12,4.7932e-12,3.4136e-12,5.1678e-12,5.9338e-12
Ag-115,8.5509e-44,8.4746e-44,5.2869e-44,7.3388e-44,7.7821e-44
Cd-106,3.9241e-20,1.6218e-19,4.9555e-19,1.2878e-18,1.1316e-18
Cd-107,6.1193e-24,1.5050e-23,7.7588e-24,4.5971e-24,8.1891e-24
Cd-108,1.0603e-14,7.7172e-13,1.5861e-13,3.7973e-10,1.2234e-10
Cd-109,9.2497e-18,2.6771e-14,3.6264e-16,9.9506e-11,1.2317e-11
Cd-110,4.8001e-08,5.0785e-07,3.1800e-06,7.3597e-06,1.0370e-05
Cd-111,2.2451e-07,8.2382e-07,2.6931e-06,4.5123e-06,5.9644e-06
